file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
ISIC_0084086.jpg,color,NA,#C17777,0.70,#B06462,0.30,#825C43,CG,80.67
ISIC_0084270.jpg,color,NA,#B85754,0.50,#CD8987,0.50,#825C43,CG,79.57
ISIC_0084395.jpg,color,NA,#B76968,0.94,#914240,0.06,#825C43,CG,82.59
ISIC_0085172.jpg,bw,NA,#FAD4D6,0.66,#EEC7C9,0.34,#F3E7DB,BB,86.58
ISIC_0085718.jpg,bw,NA,#F9DBF1,0.68,#EBCDE0,0.32,#F6EDE4,BA,83.57
ISIC_0085902.jpg,bw,NA,#FCD9E1,0.67,#E8BFC1,0.33,#F3E7DB,BB,85.76
ISIC_0086349.jpg,color,NA,#B56C6D,0.55,#882F2E,0.45,#825C43,CG,82.45
ISIC_0086632.jpg,bw,NA,#FCD8EA,0.68,#F0C9D8,0.32,#F6EDE4,BA,83.2
ISIC_0086709.jpg,bw,NA,#F8CFD3,0.76,#E6BABC,0.24,#F3E7DB,BB,85.04
ISIC_0087290.jpg,bw,NA,#FEDDE4,0.69,#F7D1D5,0.31,#F3E7DB,BB,86.72
ISIC_0087297.jpg,bw,NA,#F1BCBB,0.63,#E5ACA9,0.37,#F3E7DB,BB,81.72
ISIC_0088489.jpg,bw,NA,#EACAD5,0.59,#DCB9BE,0.41,#F3E7DB,BB,84.58
ISIC_0089401.jpg,bw,NA,#F5C6BE,0.61,#E9B6AD,0.39,#F3E7DB,BB,84.8
ISIC_0089569.jpg,bw,NA,#CE929B,0.88,#BE7C80,0.12,#A07E56,BF,76.08
ISIC_0089738.jpg,color,NA,#D78682,0.77,#AD423D,0.23,#A07E56,CF,78.04
ISIC_0090279.jpg,bw,NA,#FCD0DE,0.66,#F0BECD,0.34,#F3E7DB,BB,82.05
ISIC_0091016.jpg,color,NA,#BE514D,0.51,#DA8684,0.49,#825C43,CG,78.54
ISIC_0091559.jpg,bw,NA,#ECD6E1,0.67,#D7BEC7,0.33,#F6EDE4,BA,86.45
ISIC_0091996.jpg,color,NA,#B86763,0.88,#782623,0.12,#825C43,CG,82.96
ISIC_0092726.jpg,bw,NA,#DDA4AA,0.58,#BF807E,0.42,#A07E56,BF,77.21
ISIC_0092870.jpg,bw,NA,#EDB7B6,0.70,#DE938E,0.30,#F3E7DB,BB,79.72
ISIC_0094701.jpg,color,NA,#E29595,0.56,#C45B53,0.44,#A07E56,CF,77.38
ISIC_0094755.jpg,bw,NA,#DCBFBA,0.58,#C3A19C,0.42,#F3E7DB,BB,85.1
ISIC_0094775.jpg,bw,NA,#F8CAC7,0.66,#EBBAB3,0.34,#F3E7DB,BB,84.98
ISIC_0095805.jpg,bw,NA,#FBD2D3,0.62,#F2C6C5,0.38,#F3E7DB,BB,85.88
ISIC_0096201.jpg,color,NA,#B0635F,0.80,#882E2A,0.20,#825C43,CG,84.39
ISIC_0096227.jpg,bw,NA,#FDDDE4,0.70,#F5D0D5,0.30,#F6EDE4,BA,86.81
ISIC_0096328.jpg,bw,NA,#EFD8DC,0.67,#DBC4C7,0.33,#F3E7DB,BB,88.86
ISIC_0097499.jpg,bw,NA,#F3C9CF,0.57,#E4B6B9,0.43,#F3E7DB,BB,83.45
ISIC_0097500.jpg,bw,NA,#F1C4BE,0.65,#E5B4A8,0.35,#F3E7DB,BB,84.87
ISIC_0097997.jpg,bw,NA,#A48F8B,0.99,#755041,0.01,#A07E56,BF,84.68
ISIC_0098198.jpg,color,NA,#CC8784,0.93,#9B3C36,0.07,#A07E56,CF,79.36
ISIC_0098784.jpg,bw,NA,#F5CBD3,0.66,#E8BCC2,0.34,#F3E7DB,BB,83.54
ISIC_0099546.jpg,bw,NA,#F5C5C4,0.60,#EAB5AF,0.40,#F3E7DB,BB,83.59
ISIC_0100550.jpg,bw,NA,#EEBDC3,0.62,#E0ABB1,0.38,#F3E7DB,BB,81.3
ISIC_0103298.jpg,bw,NA,#FACECC,0.71,#EFC0B9,0.29,#F3E7DB,BB,85.7
ISIC_0105145.jpg,bw,NA,#BA7597,0.87,#A45674,0.13,#825C43,BG,72.39
ISIC_0106091.jpg,bw,NA,#FBD5E5,0.57,#F2C5CF,0.43,#F6EDE4,BA,83.04
ISIC_0109415.jpg,bw,NA,#F5C6C8,0.59,#E7B5B2,0.41,#F3E7DB,BB,83.58
ISIC_0109568.jpg,bw,NA,#CCACB9,0.69,#A38085,0.31,#F3E7DB,BB,77.16
ISIC_0109703.jpg,bw,NA,#D8ABA6,0.74,#96614A,0.26,#A07E56,BF,80.44
ISIC_0109869.jpg,bw,NA,#F7D5DD,0.98,#C3968A,0.02,#F3E7DB,BB,85.97
ISIC_0112097.jpg,bw,NA,#F1C8B7,0.69,#E5B79C,0.31,#D7BD96,BE,88.55
ISIC_0112444.jpg,color,NA,#E4A994,0.61,#C28064,0.39,#A07E56,CF,83.55
ISIC_0112884.jpg,bw,NA,#EFBCB4,0.66,#E1A793,0.34,#D7BD96,BE,84.07
ISIC_0113820.jpg,bw,NA,#ECBAC2,0.64,#DDA5A5,0.36,#F3E7DB,BB,80.45
ISIC_0114225.jpg,bw,NA,#C9A4A4,0.56,#B38983,0.44,#A07E56,BF,80.95
ISIC_0120729.jpg,bw,NA,#BB92A8,0.59,#CFACD2,0.41,#F3E7DB,BB,73.77
ISIC_0124849.jpg,bw,NA,#E2A8A6,0.66,#D3948B,0.34,#D7BD96,BE,79.89
ISIC_0125706.jpg,bw,NA,#E7CACD,0.64,#D6B7B7,0.36,#F3E7DB,BB,86.78
ISIC_0134357.jpg,bw,NA,#F0D4E2,0.62,#E2C4CC,0.38,#F6EDE4,BA,85.35
ISIC_0136526.jpg,bw,NA,#E8C4CB,0.88,#996752,0.12,#F3E7DB,BB,82.01
ISIC_0140339.jpg,bw,NA,#EFBABC,0.51,#E3A7A3,0.49,#F3E7DB,BB,80.55
ISIC_0147642.jpg,bw,NA,#D596A1,0.95,#AE6B70,0.05,#A07E56,BF,74.48
ISIC_0147817.jpg,color,NA,#E88E8B,0.64,#D0584B,0.36,#A07E56,CF,76.9
ISIC_0147869.jpg,bw,NA,#F8C9B9,0.62,#EDBCA9,0.38,#D7BD96,BE,86.83
ISIC_0148465.jpg,color,NA,#DA9D8B,0.64,#AE695A,0.36,#A07E56,CF,83.01
ISIC_0148643.jpg,color,NA,#CD585A,0.51,#C34749,0.49,#825C43,CG,80.33
ISIC_0148677.jpg,bw,NA,#F9D6E3,0.67,#F1CDD9,0.33,#F6EDE4,BA,84.6
ISIC_0148751.jpg,color,NA,#E8A99E,0.73,#C98B7E,0.27,#D7BD96,CE,81.73
ISIC_0148783.jpg,bw,NA,#F8CBCE,0.69,#EDBEC0,0.31,#F3E7DB,BB,84.1
ISIC_0149527.jpg,color,NA,#A36D54,0.67,#7E452C,0.33,#825C43,CG,90.94
ISIC_0149568.jpg,bw,NA,#E5AFA9,0.62,#D99E8B,0.38,#D7BD96,BE,82.85
ISIC_0149698.jpg,bw,NA,#FCD5D6,0.65,#F2C8C8,0.35,#F3E7DB,BB,86.48
ISIC_0149918.jpg,bw,NA,#C2B1BE,0.60,#B19EA8,0.40,#F3E7DB,BB,80.77
ISIC_0150363.jpg,bw,NA,#FBD7D4,0.64,#EEC8C2,0.36,#F3E7DB,BB,88.42
ISIC_0150975.jpg,bw,NA,#C2B1BA,0.58,#AA969F,0.42,#F3E7DB,BB,80.72
ISIC_0151200.jpg,bw,NA,#BEB1B0,0.63,#AE9E9B,0.37,#D7BD96,BE,84.32
ISIC_0152307.jpg,color,NA,#D4A675,0.92,#7A3C1A,0.08,#D7BD96,CE,89.12
ISIC_0152823.jpg,bw,NA,#FCCEC9,0.66,#EEBCB5,0.34,#F3E7DB,BB,85.51
ISIC_0153265.jpg,bw,NA,#D2A68D,0.76,#BF8F70,0.24,#D7BD96,BE,88.63
ISIC_0153549.jpg,bw,NA,#E7DDBF,0.66,#B5A186,0.34,#EADABA,BD,93.29
ISIC_0153589.jpg,bw,NA,#EBC0BD,0.59,#DCAEAA,0.41,#F3E7DB,BB,83.62
ISIC_0153911.jpg,bw,NA,#F9D3C9,0.63,#EEC7BB,0.37,#F3E7DB,BB,88.61
ISIC_0153932.jpg,bw,NA,#F7D0C6,0.68,#EBC2B3,0.32,#F3E7DB,BB,88.16
ISIC_0154032.jpg,color,NA,#A9494B,0.54,#8E2B2D,0.46,#604134,CH,83.57
ISIC_0154253.jpg,bw,NA,#C69B79,0.62,#CEB499,0.38,#D7BD96,BE,91.74
ISIC_0154338.jpg,color,NA,#AE554F,0.72,#9D403A,0.28,#825C43,CG,85.32
ISIC_0154813.jpg,bw,NA,#F8C8C1,0.63,#EEBBB1,0.37,#F3E7DB,BB,85.31
ISIC_0154870.jpg,bw,NA,#FCD7DB,0.63,#F2CACD,0.37,#F3E7DB,BB,86.17
ISIC_0154872.jpg,bw,NA,#E6BCC2,0.72,#D0A2A2,0.28,#F3E7DB,BB,82.01
ISIC_0154880.jpg,bw,NA,#E2B6AF,0.57,#C99985,0.43,#D7BD96,BE,84.48
ISIC_0155012.jpg,color,NA,#B16F6B,0.58,#92413E,0.42,#825C43,CG,84.38
ISIC_0155173.jpg,color,NA,#A1753E,0.78,#7B4818,0.22,#A07E56,CF,91.87
ISIC_0155273.jpg,bw,NA,#D4D3C1,0.71,#9E927B,0.29,#EADABA,BD,88.82
ISIC_0155473.jpg,bw,NA,#DEAFBC,0.65,#CE9BA5,0.35,#F3E7DB,BB,78.3
ISIC_0155575.jpg,bw,NA,#FAD0CD,0.63,#F2C4B9,0.37,#F3E7DB,BB,86.6
ISIC_0156460.jpg,color,NA,#895223,0.61,#B48A5F,0.39,#825C43,CG,88.36
ISIC_0156642.jpg,bw,NA,#DFBBAD,0.58,#C9A395,0.42,#D7BD96,BE,87.51
ISIC_0156772.jpg,bw,NA,#DCC2B8,0.58,#C6A89F,0.42,#D7BD96,BE,87.41
ISIC_0157530.jpg,bw,NA,#F3C1B4,0.62,#E6AF9C,0.38,#D7BD96,BE,85.26
ISIC_0157923.jpg,color,NA,#CB8582,0.62,#B3544C,0.38,#825C43,CG,79.61
ISIC_0158127.jpg,bw,NA,#F5C7C0,0.60,#E9B9B0,0.40,#F3E7DB,BB,85.39
ISIC_0158187.jpg,color,NA,#CB867F,0.92,#B05A4C,0.08,#A07E56,CF,81.26
ISIC_0159060.jpg,color,NA,#D89882,0.73,#A06251,0.27,#A07E56,CF,83.74
ISIC_0159568.jpg,bw,NA,#E0B39E,0.90,#895638,0.10,#D7BD96,BE,86.79
ISIC_0159663.jpg,bw,NA,#FAD5D8,0.69,#EFC9CC,0.31,#F3E7DB,BB,86.51
ISIC_0159746.jpg,color,NA,#C18F6F,0.72,#955033,0.28,#A07E56,CF,87.87
ISIC_0159782.jpg,bw,NA,#A48FA0,0.53,#8B7585,0.47,#825C43,BG,75.9
ISIC_0159996.jpg,bw,NA,#BD9985,0.64,#CCB3A6,0.36,#D7BD96,BE,88.12
ISIC_0160270.jpg,bw,NA,#F7D7E5,0.65,#EECBD4,0.35,#F6EDE4,BA,84.91
ISIC_0160340.jpg,bw,NA,#C1999F,0.54,#B0888D,0.46,#A07E56,BF,78.78
ISIC_0160455.jpg,bw,NA,#8B758A,0.53,#A48CA4,0.47,#825C43,BG,74.56
ISIC_0160831.jpg,color,NA,#A83C3A,0.56,#CB7270,0.44,#825C43,CG,81.43
ISIC_0161840.jpg,bw,NA,#D5A1A9,0.55,#C38C93,0.45,#A07E56,BF,75.82
ISIC_0162627.jpg,bw,NA,#FDFEFD,0.78,#E6ECE1,0.22,#F6EDE4,BA,93.67
ISIC_0162708.jpg,bw,NA,#E3C0D1,0.56,#D3ADBB,0.44,#F3E7DB,BB,80.92
ISIC_0162967.jpg,bw,NA,#A9808D,0.58,#C19DB1,0.42,#A07E56,BF,74.86
ISIC_0163110.jpg,bw,NA,#DDC5AB,0.63,#C9AA90,0.37,#D7BD96,BE,94.4
ISIC_0163463.jpg,bw,NA,#E3D7BC,0.64,#D3BE9B,0.36,#EADABA,BD,96.13
ISIC_0163639.jpg,color,NA,#9F7C58,0.80,#744928,0.20,#A07E56,CF,94.98
ISIC_0163765.jpg,bw,NA,#F9CBCD,0.64,#ECBCBB,0.36,#F3E7DB,BB,84.23
ISIC_0163767.jpg,color,NA,#E09594,0.84,#BF554E,0.16,#A07E56,CF,77.01
ISIC_0163812.jpg,bw,1,#F3CBC2,0.83,#D19C86,0.17,#F3E7DB,BB,86.51
ISIC_0164145.jpg,bw,NA,#EBC2BC,0.89,#B9866A,0.11,#F3E7DB,BB,84.98
ISIC_0164297.jpg,color,NA,#C07873,0.75,#AD514D,0.25,#825C43,CG,81.42
ISIC_0164329.jpg,bw,NA,#D3AC97,0.58,#B6917D,0.42,#D7BD96,BE,87.74
ISIC_0164388.jpg,color,NA,#A6674D,0.80,#8F5239,0.20,#825C43,CG,91.04
ISIC_0164512.jpg,bw,NA,#EABAB0,0.68,#D59F89,0.32,#D7BD96,BE,84.8
ISIC_0164603.jpg,color,NA,#C0845E,0.87,#7E3D21,0.13,#A07E56,CF,89.14
ISIC_0164809.jpg,bw,NA,#AC9C98,0.52,#9F887F,0.48,#A07E56,BF,85.67
ISIC_0165273.jpg,bw,NA,#EDC7CA,0.63,#E1B8B9,0.37,#F3E7DB,BB,84.92
ISIC_0165449.jpg,color,NA,#D88475,0.65,#A0564C,0.35,#A07E56,CF,80.82
ISIC_0165903.jpg,bw,NA,#F5CCB6,0.65,#E8BEA8,0.35,#D7BD96,BE,89.29
ISIC_0165945.jpg,color,NA,#8D2F31,0.62,#993B3E,0.38,#604134,CH,85.27
ISIC_0166059.jpg,color,NA,#A53B3A,0.67,#BF6262,0.33,#825C43,CG,82.84
ISIC_0166202.jpg,bw,NA,#D196A3,0.62,#C4878F,0.38,#A07E56,BF,75.17
ISIC_0166935.jpg,bw,NA,#9E7A7F,0.54,#BE9DA3,0.46,#A07E56,BF,79.01
ISIC_0166988.jpg,color,NA,#C88681,0.93,#964139,0.07,#A07E56,CF,80.53
ISIC_0167093.jpg,bw,NA,#EAE2CC,0.62,#D1BEA1,0.38,#EADABA,BD,94.68
ISIC_0168306.jpg,bw,NA,#E3D1CC,0.59,#D5BCB8,0.41,#F3E7DB,BB,90.89
ISIC_0168399.jpg,bw,NA,#F8CCDE,0.77,#DFAFBD,0.23,#F3E7DB,BB,81.26
ISIC_0168418.jpg,color,NA,#C1937A,0.87,#87412A,0.13,#A07E56,CF,87.33
ISIC_0168678.jpg,color,NA,#9C3535,0.61,#B65858,0.39,#825C43,CG,83.13
ISIC_0169604.jpg,bw,NA,#FCD1D3,0.66,#EEC0C1,0.34,#F3E7DB,BB,84.92
ISIC_0169687.jpg,color,NA,#D6B381,0.60,#C29866,0.40,#D7BD96,CE,93.28
ISIC_0170008.jpg,color,NA,#D6A981,0.54,#9C5A30,0.46,#A07E56,CF,85.69
ISIC_0170059.jpg,bw,NA,#9D7779,0.52,#B48F8D,0.48,#A07E56,BF,82.11
ISIC_0170101.jpg,bw,NA,#CFBCCE,0.61,#C2ADBA,0.39,#F3E7DB,BB,82.09
ISIC_0170285.jpg,color,NA,#A56D42,0.55,#7B310E,0.45,#825C43,CG,88.03
ISIC_0170545.jpg,bw,NA,#F1BEAE,0.68,#E2AD9A,0.32,#D7BD96,BE,85.98
ISIC_0170583.jpg,bw,NA,#DECCBD,0.59,#C3A99C,0.41,#D7BD96,BE,90.16
ISIC_0170636.jpg,bw,NA,#D99EA6,0.88,#C58384,0.12,#F3E7DB,BB,75.76
ISIC_0170676.jpg,bw,NA,#AC7A77,0.55,#C19090,0.45,#A07E56,BF,81.66
ISIC_0170696.jpg,bw,NA,#C58A7F,0.78,#864B38,0.22,#A07E56,BF,82.51
ISIC_0170960.jpg,color,NA,#B96C6B,0.59,#A03E3B,0.41,#825C43,CG,82.92
ISIC_0171235.jpg,bw,NA,#E3B0C5,0.72,#C8919F,0.28,#F3E7DB,BB,76.57
ISIC_0171946.jpg,bw,NA,#BCAAA2,0.98,#97715C,0.02,#D7BD96,BE,86.73
ISIC_0171983.jpg,bw,NA,#EBB195,0.74,#BE8871,0.26,#D7BD96,BE,86.52
ISIC_0172020.jpg,bw,NA,#F6C9C2,0.60,#E9B9B2,0.40,#F3E7DB,BB,85.4
ISIC_0172163.jpg,color,NA,#E09D96,0.70,#B76F65,0.30,#A07E56,CF,79.76
ISIC_0172865.jpg,color,NA,#EABD86,0.91,#9C6536,0.09,#D7BD96,CE,92.3
ISIC_0172959.jpg,color,NA,#973A3B,0.59,#BC6C6C,0.41,#825C43,CG,82.77
ISIC_0173137.jpg,bw,NA,#ECC7BC,0.53,#DCB4A5,0.47,#F3E7DB,BB,86.94
ISIC_0173213.jpg,bw,NA,#D6C0A6,0.54,#BBA188,0.46,#D7BD96,BE,93.65
ISIC_0173385.jpg,color,NA,#BD8A74,0.79,#AA6C50,0.21,#A07E56,CF,88.54
ISIC_0173485.jpg,bw,NA,#FAD1DA,0.68,#F0C4C9,0.32,#F3E7DB,BB,84.27
ISIC_0174405.jpg,bw,NA,#ECBCB4,0.51,#C7898B,0.49,#D7BD96,BE,79.53
ISIC_0174527.jpg,bw,NA,#EBB6C0,0.52,#D99FA5,0.48,#F3E7DB,BB,78.72
ISIC_0174983.jpg,bw,NA,#F0CAD8,0.95,#A06E64,0.05,#F3E7DB,BB,82.35
ISIC_0175364.jpg,color,NA,#F3BF9E,0.74,#B75437,0.26,#D7BD96,CE,84.31
ISIC_0175486.jpg,bw,NA,#FEE1ED,0.72,#F8D4DB,0.28,#F6EDE4,BA,86.43
ISIC_0175530.jpg,bw,NA,#E2B3C1,0.59,#D5A2AC,0.41,#F3E7DB,BB,78.91
ISIC_0175837.jpg,color,NA,#C29369,0.76,#B3794D,0.24,#A07E56,CF,91.55
ISIC_0176577.jpg,bw,NA,#E7BDCE,0.79,#D1A2A8,0.21,#F3E7DB,BB,80.39
ISIC_0176781.jpg,color,NA,#DC9284,0.92,#C36F5D,0.08,#A07E56,CF,80.99
ISIC_0177190.jpg,bw,NA,#EBC3BA,0.73,#D5AA9E,0.27,#F3E7DB,BB,85.89
ISIC_0177304.jpg,bw,NA,#CCA8B3,0.55,#BB969C,0.45,#F3E7DB,BB,78.11
ISIC_0177860.jpg,color,NA,#D29165,0.56,#B35627,0.44,#A07E56,CF,86.0
ISIC_0178430.jpg,bw,NA,#D9CDB1,0.53,#B5A389,0.47,#D7BD96,BE,92.49
ISIC_0179056.jpg,bw,NA,#F4D2E9,0.68,#E8BEC7,0.32,#F6EDE4,BA,82.59
ISIC_0179074.jpg,bw,NA,#FAC4D1,0.66,#ECB5C3,0.34,#F3E7DB,BB,80.28
ISIC_0179104.jpg,bw,NA,#EFC3C5,0.67,#E0B4B5,0.33,#F3E7DB,BB,83.84
ISIC_0179191.jpg,bw,NA,#FCD5D1,0.66,#EEBCB5,0.34,#F3E7DB,BB,86.51
ISIC_0179267.jpg,bw,NA,#FBCFD5,0.68,#ECBEC2,0.32,#F3E7DB,BB,84.13
ISIC_0180194.jpg,bw,NA,#F5C5C7,0.59,#EAB5B1,0.41,#F3E7DB,BB,83.29
ISIC_0180510.jpg,bw,NA,#F3C3B8,0.54,#E9B3A2,0.46,#D7BD96,BE,85.02
ISIC_0180660.jpg,bw,NA,#FBD3DA,0.65,#F1C6CA,0.35,#F3E7DB,BB,85.04
ISIC_0181017.jpg,bw,NA,#DABFBE,0.67,#BD9D9C,0.33,#F3E7DB,BB,84.69
ISIC_0181059.jpg,bw,NA,#DEA89D,0.56,#D29783,0.44,#D7BD96,BE,83.6
ISIC_0181374.jpg,bw,NA,#E6DAD8,0.59,#D8CAC7,0.41,#F3E7DB,BB,93.27
ISIC_0181445.jpg,bw,NA,#A87976,0.54,#6E433C,0.46,#825C43,BG,85.75
ISIC_0181678.jpg,bw,NA,#9D8B86,0.74,#98786E,0.26,#A07E56,BF,86.63
ISIC_0182020.jpg,bw,NA,#F4C8C4,0.57,#E5B6AF,0.43,#F3E7DB,BB,85.15
ISIC_0182730.jpg,color,NA,#B55556,0.78,#C67C7E,0.22,#825C43,CG,81.86
ISIC_0183256.jpg,bw,NA,#EAB7B2,0.98,#9A604C,0.02,#F3E7DB,BB,82.58
ISIC_0183290.jpg,color,NA,#C06C61,0.93,#902F29,0.07,#825C43,CG,82.67
ISIC_0183925.jpg,bw,NA,#FCD7CB,0.56,#F1C9BB,0.44,#F3E7DB,BB,89.29
ISIC_0184482.jpg,bw,NA,#FDDCE3,0.58,#F6D0D2,0.42,#F3E7DB,BB,86.74
ISIC_0184688.jpg,color,NA,#AA8066,0.55,#8A3C17,0.45,#825C43,CG,86.6
ISIC_0184944.jpg,bw,NA,#FCCFBF,0.62,#F1C1AE,0.38,#F3E7DB,BB,87.26
ISIC_0185051.jpg,bw,NA,#D8CAC0,0.52,#C0ADA6,0.48,#F3E7DB,BB,89.72
ISIC_0185135.jpg,bw,NA,#F9CFD1,0.56,#EDBEBF,0.44,#F3E7DB,BB,84.65
ISIC_0185177.jpg,bw,NA,#AB96A7,0.60,#99828E,0.40,#A07E56,BF,75.86
ISIC_0185547.jpg,bw,NA,#EEC9CC,0.95,#BB8874,0.05,#F3E7DB,BB,85.46
ISIC_0185918.jpg,bw,NA,#FCD7D0,0.74,#F1C8BA,0.26,#F3E7DB,BB,89.07
ISIC_0186161.jpg,color,NA,#A1514A,0.72,#7E3D36,0.28,#825C43,CG,87.04
ISIC_0186437.jpg,bw,NA,#FCD4BE,0.59,#F2C7B0,0.41,#F3E7DB,BB,89.02
ISIC_0186501.jpg,color,NA,#CC9E81,0.72,#BD906E,0.28,#A07E56,CF,88.18
ISIC_0186820.jpg,color,NA,#BC5959,0.52,#AC3F40,0.48,#825C43,CG,82.59
ISIC_0187428.jpg,bw,NA,#D6CBCA,0.53,#BCADAD,0.47,#F3E7DB,BB,88.23
ISIC_0187498.jpg,color,NA,#D7B88B,0.57,#C88C54,0.43,#D7BD96,CE,92.15
ISIC_0187812.jpg,color,NA,#963535,0.60,#B35A5B,0.40,#825C43,CG,83.33
ISIC_0188415.jpg,bw,NA,#FBD1D5,0.67,#ECC2C5,0.33,#F3E7DB,BB,85.14
ISIC_0188432.jpg,bw,NA,#DDBFA4,0.52,#C9A272,0.48,#D7BD96,BE,93.49
ISIC_0188926.jpg,bw,NA,#EEBEC6,0.57,#E1AAAF,0.43,#F3E7DB,BB,80.66
ISIC_0188955.jpg,color,NA,#B9726E,0.80,#893735,0.20,#825C43,CG,82.44
ISIC_0189059.jpg,color,NA,#812D2C,0.61,#B26F6E,0.39,#604134,CH,82.95
ISIC_0189333.jpg,color,NA,#8E3B32,0.55,#A55D4E,0.45,#825C43,CG,87.32
ISIC_0189336.jpg,bw,NA,#FCD8C6,0.68,#F1CAB7,0.32,#F3E7DB,BB,90.36
ISIC_0189694.jpg,color,NA,#DE9E8A,0.84,#BE6850,0.16,#A07E56,CF,82.34
ISIC_0189837.jpg,bw,NA,#ECC6CD,0.56,#DBB1B8,0.44,#F3E7DB,BB,83.09
ISIC_0190308.jpg,bw,NA,#C9B38D,0.68,#A88660,0.32,#D7BD96,BE,92.69
ISIC_0190725.jpg,color,NA,#98684E,0.91,#844E37,0.09,#825C43,CG,93.84
ISIC_0190870.jpg,color,NA,#B3524E,0.53,#BD6D6C,0.47,#825C43,CG,82.76
ISIC_0191366.jpg,bw,NA,#FBD4D9,0.68,#EEC5C5,0.32,#F3E7DB,BB,85.96
ISIC_0191734.jpg,color,NA,#EFA9A6,0.63,#DC9288,0.37,#D7BD96,CE,79.13
ISIC_0191871.jpg,color,NA,#844233,0.56,#B98A7D,0.44,#825C43,CG,85.21
ISIC_0192419.jpg,bw,NA,#F4C4C1,0.57,#E3B0AC,0.43,#F3E7DB,BB,83.32
ISIC_0192490.jpg,color,NA,#E3AF8E,0.88,#C78855,0.12,#D7BD96,CE,89.53
ISIC_0192596.jpg,bw,NA,#F9D6D5,0.71,#F0CBC6,0.29,#F3E7DB,BB,88.44
ISIC_0192701.jpg,bw,NA,#F8D4D3,0.66,#F1CBC6,0.34,#F3E7DB,BB,88.02
ISIC_0192893.jpg,bw,NA,#D9B19F,0.59,#BA8F7F,0.41,#D7BD96,BE,85.99
ISIC_0193456.jpg,color,NA,#F1BEAA,0.64,#D09679,0.36,#D7BD96,CE,86.6
ISIC_0193785.jpg,bw,NA,#F6C8C8,0.71,#EAB9B5,0.29,#F3E7DB,BB,84.43
ISIC_0193907.jpg,color,1,#BF9066,0.62,#B18156,0.38,#A07E56,CF,93.11
ISIC_0193920.jpg,bw,NA,#FAD0C9,0.59,#EFC3B9,0.41,#F3E7DB,BB,87.25
ISIC_0194550.jpg,bw,NA,#DAA8A5,0.94,#A06552,0.06,#D7BD96,BE,80.7
ISIC_0194914.jpg,bw,NA,#E0BBC3,0.79,#84574A,0.21,#F3E7DB,BB,77.57
